t,src_ip,packets,bytes,blocked
0.0,10.0.0.1,330,264000,False
0.0,10.0.0.2,330,264000,False
0.1,10.0.0.3,330,264000,False
0.1,10.0.0.4,330,264000,False
0.1,10.0.0.5,330,264000,False
0.2,10.0.0.6,330,264000,False
5.2,10.0.0.1,100,80000,False
5.2,10.0.0.2,100,80000,False
5.3,10.0.0.3,100,80000,False
5.3,10.0.0.4,100,80000,False
10.3,10.0.0.1,100,80000,False
10.4,10.0.0.2,100,80000,False
10.4,10.0.0.3,100,80000,False
10.4,10.0.0.4,100,80000,False
15.5,10.0.0.1,100,80000,False
15.5,10.0.0.2,100,80000,False
15.5,10.0.0.3,100,80000,False
15.6,10.0.0.4,100,80000,False
20.6,10.0.0.1,100,80000,False
20.7,10.0.0.2,100,80000,False
20.7,10.0.0.3,100,80000,False
20.7,10.0.0.4,100,80000,False
25.8,10.0.0.1,100,80000,False
25.8,10.0.0.2,100,80000,False
25.8,10.0.0.3,100,80000,False
25.8,10.0.0.4,100,80000,False
30.9,10.0.0.6,180,9000,False
36.0,10.0.0.6,180,9000,False
41.1,10.0.0.6,180,9000,False
46.2,10.0.0.6,180,9000,False
51.3,10.0.0.6,180,9000,False
56.4,10.0.0.6,180,9000,False
